query	BLM protests
"@AJEnglish - Don't worry the 'talks' are ongoing.
- These aren't the BLM protests, the farmers here in India are negotiating.
- Foreign agencies are trying to shape it as a REBELLION which it actually isn't.
- Al Jazeera, and others can calm down.
- We're a 'sovereign' not just a democracy."	1230881035463864320	Sat Dec 05 18:38:25 +0000 2020	[]	0	0	https://twitter.com/Rishi_saxena21/status/1335292457307652097
"@Lesleyp09009677 @jeffw355 @AnthonySabatini I criticized them for their hypocrisy. The Democrats supported the maskless riots by BLM/Antifa. 

As for my personal opinion, I support everyone's right to protest; just keep it peaceful."	1006954825291042817	Sat Dec 05 18:26:10 +0000 2020	[]	0	0	https://twitter.com/MarlboroMike2/status/1335289378185355265
@RJMacReady20 @bigknightywhu @SkySportsNews The players don’t. They don’t have to kneel. Sky Sports might have the BLM slogan on their programmes but the players say they protest BECAUSE black lives matter. Not specifically FOR the group	1190921894964482050	Sat Dec 05 17:38:14 +0000 2020	[]	0	0	https://twitter.com/PaulRavens39/status/1335277312850464769
Sat Jul 18 2020 Portland, Oregon - Police shove protesters obeying directions WATCH: https://t.co/g2sWr5Ltcr #PortlandOregon #PPD #blacklivesmatter #blm #defundthepolice #abolishthepolice	959164529551790080	Sat Dec 05 17:32:08 +0000 2020	['PortlandOregon', 'PPD', 'blacklivesmatter', 'blm', 'defundthepolice', 'abolishthepolice']	0	0	https://twitter.com/tbasharks/status/1335275780490858497
@RavePigeon @GaiusBaltar18 @GaryLineker No it’s not, MLK took the knee back in the 60s, it’s a symbol of protest. BLM didn’t exist in the 60s so clearly it’s been around long before they existed.	3086167250	Sat Dec 05 17:17:29 +0000 2020	[]	0	0	https://twitter.com/JGoddard0/status/1335272090354782210
"@Thedouglout79 @hawt_red @bha_tomorrow @SkySportsNews I'm fairly sure the pissing was from the counter protest. 

Anyway its irrelevant, they removed the BLM stuff, probably because of the other stuff, this is simple ""No Room for Racism"""	1223364523836481536	Sat Dec 05 17:04:20 +0000 2020	[]	0	0	https://twitter.com/NUFCDeenJam/status/1335268781002809345
Wed Nov 04 2020 Portland, Oregon - Officers charged protesters &amp; press WATCH: https://t.co/29CDmq6M49 #PortlandOregon #PPD #blacklivesmatter #blm #defundthepolice #abolishthepolice	959164529551790080	Sat Dec 05 16:32:08 +0000 2020	['PortlandOregon', 'PPD', 'blacklivesmatter', 'blm', 'defundthepolice', 'abolishthepolice']	0	0	https://twitter.com/tbasharks/status/1335260679050289154
The brave BLM-Antifa militants.. coming through with their 'We'll shut everything down' threat of a few days ago.. as expected in the  same liberal, police-free cesspool they have been 'protesting' (ie, rioting) in the past 9 months.	16440311	Sat Dec 05 14:03:38 +0000 2020	[]	0	0	https://twitter.com/jallan7982/status/1335223306547585027
"@AllenPeacocke1 It's getting worse as the day goes on. I guarantee some lads who complained about BLM protests are shoulder to shoulder in the queue for JD Sports.
I seriously might just fuck off home"	806498302711758849	Sat Dec 05 13:05:49 +0000 2020	[]	0	0	https://twitter.com/jamielockdown/status/1335208755898814464
If you care about ending racism : participate in protests, support black family businesses, uplift their voice, not be their voice. Having blm in your bio and tweeting all day at morons isn't helping anyone.	2562756277	Sat Dec 05 11:04:48 +0000 2020	[]	0	0	https://twitter.com/ArtOfAqua/status/1335178301791408128
